Date,AAPL,ADBE,AMZN,BAC,DIS,FB,GOOGL,HD,JNJ,JPM,MA,MSFT,NVDA,PG,PYPL,SPY,TSLA,UNH,V,VZ,WMT
2019-11-22,64.88465118408203,299.29998779296875,1745.719970703125,32.137935638427734,147.40684509277344,198.82000732421875,1293.6700439453125,211.65089416503906,133.4909210205078,126.20682525634766,281.0547790527344,148.02191162109375,210.38735961914062,117.39065551757812,101.7699966430664,303.765869140625,66.60800170898438,271.3146057128906,178.3720703125,57.246158599853516,116.87596893310547
2019-11-25,66.02232360839844,305.2799987792969,1773.8399658203125,32.41883087158203,148.7985076904297,199.7899932861328,1305.6400146484375,212.01007080078125,133.54933166503906,126.88229370117188,286.0677185058594,149.64471435546875,220.68275451660156,117.60535430908203,104.44999694824219,306.1201171875,67.26799774169922,277.0282897949219,179.8628692626953,56.891666412353516,116.44510650634766
2019-11-26,65.50679016113281,307.8999938964844,1796.93994140625,32.30259323120117,150.7368927001953,198.97000122070312,1313.0,214.301025390625,133.53961181640625,127.05596923828125,287.8282165527344,150.43634033203125,216.4827880859375,119.31317138671875,106.19999694824219,306.8136901855469,65.78399658203125,275.7835998535156,181.43321228027344,57.38029479980469,116.70948791503906
2019-11-27,66.38668060302734,309.05999755859375,1818.510009765625,32.37039566040039,150.57785034179688,202.0,1312.1300048828125,216.47549438476562,134.10426330566406,127.43230438232422,290.1357727050781,150.72329711914062,217.8804931640625,118.82523345947266,107.75,308.18133544921875,66.25800323486328,275.0682067871094,183.24209594726562,57.58148956298828,116.28844451904297
2019-11-29,66.24044799804688,309.5299987792969,1800.800048828125,32.273536682128906,150.67726135253906,201.63999938964844,1304.0899658203125,214.05833435058594,133.85113525390625,127.14281463623047,290.6629333496094,149.79315185546875,216.38296508789062,119.11798858642578,108.01000213623047,307.0383605957031,65.98799896240234,274.2841491699219,183.38121032714844,57.71562957763672,116.611572265625
2019-12-02,65.47456359863281,302.75,1781.5999755859375,32.38009262084961,149.72296142578125,199.6999969482422,1288.8599853515625,211.25291442871094,133.72459411621094,126.86298370361328,284.933837890625,147.98233032226562,208.9052734375,119.7620849609375,106.20999908447266,304.4301452636719,66.9739990234375,274.078369140625,180.6778564453125,57.44736099243164,116.7976303100586
2019-12-03,64.3071517944336,303.9100036621094,1769.9599609375,31.80861473083496,147.69512939453125,198.82000732421875,1294.739990234375,207.73883056640625,133.5298614501953,125.23220825195312,285.550537109375,147.74484252929688,207.3179168701172,119.98654174804688,105.58999633789062,302.3884582519531,67.23999786376953,271.3734436035156,180.78720092773438,57.619815826416016,116.2003173828125
2019-12-04,64.87474060058594,302.510009765625,1760.68994140625,32.10887908935547,147.39691162109375,198.7100067138672,1318.93994140625,209.16519165039062,135.6911163330078,127.70249938964844,285.3018493652344,148.2791748046875,209.0749969482422,121.5284652709961,105.0,304.2542724609375,66.60600280761719,273.7451477050781,179.49514770507812,57.993473052978516,116.21990966796875
2019-12-05,65.82652282714844,303.0299987792969,1740.47998046875,32.225746154785156,146.56190490722656,199.36000061035156,1326.9599609375,208.09054565429688,135.8663330078125,128.39727783203125,288.2957458496094,148.3583526611328,208.3961181640625,121.61628723144531,104.58999633789062,304.80133056640625,66.0739974975586,276.3716125488281,180.77725219726562,58.27132034301758,116.7116928100586
2019-12-06,67.09803009033203,306.2300109863281,1751.5999755859375,32.79059600830078,146.78060913085938,201.0500030517578,1339.3900146484375,209.3410186767578,136.66465759277344,130.30789184570312,288.8427734375,150.15927124023438,211.8204803466797,121.1966552734375,104.33999633789062,307.5854187011719,67.1780014038086,275.6534729003906,181.05552673339844,58.62581253051758,117.81329345703125
2019-12-09,66.15865325927734,307.04998779296875,1749.510009765625,32.6347770690918,145.33924865722656,201.33999633789062,1342.989990234375,211.53916931152344,136.78147888183594,129.69996643066406,287.50994873046875,149.7733612060547,211.8204803466797,121.86026763916016,103.77999877929688,306.6182861328125,67.90599822998047,273.04638671875,181.8009490966797,58.45336151123047,117.40019989013672
2019-12-10,66.54531860351562,304.1700134277344,1739.2099609375,32.65425491333008,145.22988891601562,200.8699951171875,1342.8900146484375,210.92367553710938,136.2849884033203,129.7868194580078,287.0623474121094,149.54579162597656,213.62750244140625,121.27472686767578,103.62000274658203,306.2763671875,69.76799774169922,274.9942932128906,181.14498901367188,58.66414260864258,117.18380737304688
2019-12-11,67.1129150390625,303.739990234375,1748.719970703125,32.76137924194336,146.7110137939453,202.25999450683594,1344.25,207.1135711669922,137.248779296875,129.47801208496094,288.4945983886719,150.10977172851562,216.98196411132812,121.65532684326172,105.51000213623047,307.14581298828125,70.54000091552734,275.95843505859375,180.89651489257812,58.52043151855469,117.04610443115234
